Country,Product Name,Order Date (YEAR),Total Sales IFNULL (AGG)
Australia,P-51-D Mustang,2005,3157.98
Australia,HMS Bounty,2005,0
Australia,F/A 18 Hornet 1/72,2005,0
Australia,Corsair F4U ( Bird Cage),2005,0
Australia,Boeing X-32A JSF,2005,0
Australia,ATA: B757-300,2005,0
Australia,American Airlines: MD-11S,2005,0
Australia,American Airlines: B767-300,2005,0
Australia,America West Airlines B757-200,2005,0
Australia,2003 Harley-Davidson Eagle Drag Bike,2005,3493.6
Australia,2002 Yamaha YZR M1,2005,0
Australia,2002 Suzuki XREO,2005,0
Australia,2002 Chevy Corvette,2005,0
Australia,1999 Indy 500 Monte Carlo SS,2005,0
Australia,1997 BMW R 1100 S,2005,4282.6
Australia,1997 BMW F650 ST,2005,0
Australia,1996 Peterbilt 379 Stake Bed with Outrigger,2005,1599.75
Australia,1996 Moto Guzzi 1100i,2005,4499.43
Australia,1995 Honda Civic,2005,0
Australia,1993 Mazda RX-7,2005,0
Australia,1992 Porsche Cayenne Turbo Silver,2005,0
Australia,1992 Ferrari 360 Spider red,2005,4526.55
Australia,1982 Lamborghini Diablo,2005,0
Australia,1982 Ducati 996 R,2005,0
Australia,1982 Ducati 900 Monster,2005,0
Australia,1982 Camaro Z28,2005,0
Australia,1980’s GM Manhattan Express,2005,0
Australia,1976 Ford Gran Torino,2005,0
Australia,1974 Ducati 350 Mk3 Desmo,2005,0
Australia,1971 Alpine Renault 1600s,2005,0
Australia,1970 Triumph Spitfire,2005,0
Australia,1970 Plymouth Hemi Cuda,2005,0
Australia,1970 Dodge Coronet,2005,0
Australia,1970 Chevy Chevelle SS 454,2005,0
Australia,1969 Harley Davidson Ultimate Chopper,2005,0
Australia,1969 Dodge Super Bee,2005,0
Australia,1969 Chevrolet Camaro Z28,2005,0
Australia,1968 Ford Mustang,2005,0
Australia,1966 Shelby Cobra 427 S/C,2005,0
Australia,1965 Aston Martin DB5,2005,0
Australia,1964 Mercedes Tour Bus,2005,2241.14
Australia,1962 LanciaA Delta 16V,2005,8981.1
Australia,1961 Chevrolet Impala,2005,0
Australia,1960 BSA Gold Star DBD34,2005,0
Australia,1958 Setra Bus,2005,10612.33
Australia,1957 Vespa GS150,2005,0
Australia,1957 Ford Thunderbird,2005,0
Australia,1957 Corvette Convertible,2005,0
Australia,1956 Porsche 356A Coupe,2005,0
Australia,1952 Citroen-15CV,2005,0
Australia,1952 Alpine Renault 1300,2005,4680.24
Australia,1950's Chicago Surface Lines Streetcar,2005,0
Australia,1949 Jaguar XK 120,2005,0
Australia,1948 Porsche Type 356 Roadster,2005,0
Australia,1948 Porsche 356-A Roadster,2005,0
Australia,1940s Ford truck,2005,3054.86
Australia,1940 Ford Pickup Truck,2005,6025.04
Australia,1939 Chevrolet Deluxe Coupe,2005,876.15
Australia,1939 Cadillac Limousine,2005,835.2
Australia,1938 Cadillac V-16 Presidential Limousine,2005,870.96
Australia,1937 Lincoln Berline,2005,3595.9
Australia,1937 Horch 930V Limousine,2005,0
Australia,1936 Mercedes-Benz 500K Special Roadster,2005,1992.48
Australia,1936 Mercedes Benz 500k Roadster,2005,0
Australia,1936 Harley Davidson El Knucklehead,2005,1066.12
Australia,1936 Chrysler Airflow,2005,0
Australia,1934 Ford V8 Coupe,2005,0
Australia,1932 Model A Ford J-Coupe,2005,0
Australia,1932 Alfa Romeo 8C2300 Spider Sport,2005,0
Australia,1930 Buick Marquette Phaeton,2005,0
Australia,1928 Mercedes-Benz SSK,2005,0
Australia,1928 Ford Phaeton Deluxe,2005,0
Australia,1928 British Royal Navy Airplane,2005,4932.58
Australia,1926 Ford Fire Engine,2005,3863.64
Australia,1917 Maxwell Touring Car,2005,0
Australia,1917 Grand Touring Sedan,2005,0
Australia,1913 Ford Model T Speedster,2005,3176.96
Australia,1911 Ford Town Car,2005,0
Australia,1900s Vintage Tri-Plane,2005,0
Australia,18th Century Vintage Horse Carriage,2005,0
Australia,P-51-D Mustang,2004,3176.26
Australia,HMS Bounty,2004,2063.76
Australia,F/A 18 Hornet 1/72,2004,5438.4
Australia,Corsair F4U ( Bird Cage),2004,1596.92
Australia,Boeing X-32A JSF,2004,1096.41
Australia,ATA: B757-300,2004,8053.78
Australia,American Airlines: MD-11S,2004,2176.65
Australia,American Airlines: B767-300,2004,3872.75
Australia,America West Airlines B757-200,2004,2385.24
Australia,2003 Harley-Davidson Eagle Drag Bike,2004,9299.71
Australia,2002 Yamaha YZR M1,2004,0
Australia,2002 Suzuki XREO,2004,0
Australia,2002 Chevy Corvette,2004,0
Australia,1999 Indy 500 Monte Carlo SS,2004,0
Australia,1997 BMW R 1100 S,2004,3353.92
Australia,1997 BMW F650 ST,2004,1908.9
Australia,1996 Peterbilt 379 Stake Bed with Outrigger,2004,1099.56
Australia,1996 Moto Guzzi 1100i,2004,8167.35
Australia,1995 Honda Civic,2004,2534.84
Australia,1993 Mazda RX-7,2004,4755.6
Australia,1992 Porsche Cayenne Turbo Silver,2004,0
Australia,1992 Ferrari 360 Spider red,2004,5029.5
Australia,1982 Lamborghini Diablo,2004,1193.01
Australia,1982 Ducati 996 R,2004,0
Australia,1982 Ducati 900 Monster,2004,0
Australia,1982 Camaro Z28,2004,4652.9
Australia,1980’s GM Manhattan Express,2004,2989.44
Australia,1976 Ford Gran Torino,2004,13568.53
Australia,1974 Ducati 350 Mk3 Desmo,2004,0
Australia,1971 Alpine Renault 1600s,2004,2880.48
Australia,1970 Triumph Spitfire,2004,0
Australia,1970 Plymouth Hemi Cuda,2004,0
Australia,1970 Dodge Coronet,2004,0
Australia,1970 Chevy Chevelle SS 454,2004,0
Australia,1969 Harley Davidson Ultimate Chopper,2004,4831.03
Australia,1969 Dodge Super Bee,2004,5274.85
Australia,1969 Chevrolet Camaro Z28,2004,0
Australia,1968 Ford Mustang,2004,0
Australia,1966 Shelby Cobra 427 S/C,2004,0
Australia,1965 Aston Martin DB5,2004,0
Australia,1964 Mercedes Tour Bus,2004,0
Australia,1962 LanciaA Delta 16V,2004,7561.39
Australia,1961 Chevrolet Impala,2004,0
Australia,1960 BSA Gold Star DBD34,2004,2315.72
Australia,1958 Setra Bus,2004,7632.93
Australia,1957 Vespa GS150,2004,1503.32
Australia,1957 Ford Thunderbird,2004,0
Australia,1957 Corvette Convertible,2004,4749.62
Australia,1956 Porsche 356A Coupe,2004,4718.28
Australia,1952 Citroen-15CV,2004,0
Australia,1952 Alpine Renault 1300,2004,9257.64
Australia,1950's Chicago Surface Lines Streetcar,2004,0
Australia,1949 Jaguar XK 120,2004,0
Australia,1948 Porsche Type 356 Roadster,2004,0
Australia,1948 Porsche 356-A Roadster,2004,3472.7
Australia,1940s Ford truck,2004,9271.23
Australia,1940 Ford Pickup Truck,2004,8816.64
Australia,1939 Chevrolet Deluxe Coupe,2004,0
Australia,1939 Cadillac Limousine,2004,1771
Australia,1938 Cadillac V-16 Presidential Limousine,2004,0
Australia,1937 Lincoln Berline,2004,0
Australia,1937 Horch 930V Limousine,2004,2123.64
Australia,1936 Mercedes-Benz 500K Special Roadster,2004,973.56
Australia,1936 Mercedes Benz 500k Roadster,2004,0
Australia,1936 Harley Davidson El Knucklehead,2004,1645
Australia,1936 Chrysler Airflow,2004,0
Australia,1934 Ford V8 Coupe,2004,2060.06
Australia,1932 Model A Ford J-Coupe,2004,0
Australia,1932 Alfa Romeo 8C2300 Spider Sport,2004,0
Australia,1930 Buick Marquette Phaeton,2004,2862.56
Australia,1928 Mercedes-Benz SSK,2004,2870.49
Australia,1928 Ford Phaeton Deluxe,2004,4098.69
Australia,1928 British Royal Navy Airplane,2004,2976.36
Australia,1926 Ford Fire Engine,2004,2552.5
Australia,1917 Maxwell Touring Car,2004,2192.58
Australia,1917 Grand Touring Sedan,2004,0
Australia,1913 Ford Model T Speedster,2004,6548.87
Australia,1911 Ford Town Car,2004,0
Australia,1900s Vintage Tri-Plane,2004,3287.05
Australia,18th Century Vintage Horse Carriage,2004,7551.56
Australia,P-51-D Mustang,2003,2400.91
Australia,HMS Bounty,2003,0
Australia,F/A 18 Hornet 1/72,2003,3096
Australia,Corsair F4U ( Bird Cage),2003,0
Australia,Boeing X-32A JSF,2003,0
Australia,ATA: B757-300,2003,2562.96
Australia,American Airlines: MD-11S,2003,0
Australia,American Airlines: B767-300,2003,4292.98
Australia,America West Airlines B757-200,2003,1962.48
Australia,2003 Harley-Davidson Eagle Drag Bike,2003,7304.8
Australia,2002 Yamaha YZR M1,2003,3631.68
Australia,2002 Suzuki XREO,2003,4428.2
Australia,2002 Chevy Corvette,2003,2601.99
Australia,1999 Indy 500 Monte Carlo SS,2003,3065.04
Australia,1997 BMW R 1100 S,2003,3865.75
Australia,1997 BMW F650 ST,2003,2087.8
Australia,1996 Peterbilt 379 Stake Bed with Outrigger,2003,0
Australia,1996 Moto Guzzi 1100i,2003,3449.26
Australia,1995 Honda Civic,2003,3414
Australia,1993 Mazda RX-7,2003,2636.95
Australia,1992 Porsche Cayenne Turbo Silver,2003,2584.51
Australia,1992 Ferrari 360 Spider red,2003,4606.08
Australia,1982 Lamborghini Diablo,2003,0
Australia,1982 Ducati 996 R,2003,962.26
Australia,1982 Ducati 900 Monster,2003,2526.62
Australia,1982 Camaro Z28,2003,0
Australia,1980’s GM Manhattan Express,2003,0
Australia,1976 Ford Gran Torino,2003,4921.2
Australia,1974 Ducati 350 Mk3 Desmo,2003,2845.12
Australia,1971 Alpine Renault 1600s,2003,1811.18
Australia,1970 Triumph Spitfire,2003,4121.95
Australia,1970 Plymouth Hemi Cuda,2003,2585.52
